address,object_type,floors,contruction_date,square
"г Уфа, б-р. Баландина, д.11",Многоквартирный дом,18,2011-01-01 00:00:00,5394.5
"г Уфа, б-р. Баландина, д.2",Многоквартирный дом,16,2012-01-01 00:00:00,12731.5
"г Уфа, б-р. Баландина, д.2а",Другое строение,3,,0.0
"г Уфа, б-р. Баландина, д.4",Многоквартирный дом,16,2012-01-01 00:00:00,4234.9
"г Уфа, б-р. Баландина, д.4 корп.1",Многоквартирный дом,16,2012-01-01 00:00:00,4250.1
"г Уфа, б-р. Баландина, д.9",Многоквартирный дом,18,2011-01-01 00:00:00,8213.4
"г Уфа, б-р. Давлеткильдеева, д.1",Другое строение,3,,0.0
"г Уфа, б-р. Давлеткильдеева, д.12",Многоквартирный дом,24,2018-12-01 00:00:00,14131.0
"г Уфа, б-р. Давлеткильдеева, д.12* корп.потери",Другое строение,0,,
"г Уфа, б-р. Давлеткильдеева, д.16",Многоквартирный дом,30,2018-11-01 00:00:00,16368.1
"г Уфа, б-р. Давлеткильдеева, д.18",Многоквартирный дом,26,2019-12-01 00:00:00,13668.3
"г Уфа, б-р. Давлеткильдеева, д.20",Многоквартирный дом,25,2019-12-01 00:00:00,21072.0
"г Уфа, б-р. Давлеткильдеева, д.3 корп.1",Многоквартирный дом,9,1983-01-01 00:00:00,5742.2
"г Уфа, б-р. Давлеткильдеева, д.3 корп.2",Многоквартирный дом,12,1983-01-01 00:00:00,2774.8
"г Уфа, б-р. Давлеткильдеева, д.5",Многоквартирный дом,25,2017-10-01 00:00:00,47639.6
"г Уфа, б-р. Давлеткильдеева, д.5 корп.1",Многоквартирный дом,9,1983-01-01 00:00:00,5684.4
"г Уфа, б-р. Давлеткильдеева, д.5 корп.2",Другое строение,2,,0.01
"г Уфа, б-р. Давлеткильдеева, д.8",Многоквартирный дом,11,2014-01-01 00:00:00,6106.5
"г Уфа, б-р. Давлеткильдеева, д.8*",Другое строение,0,,
"г Уфа, б-р. Ибрагимова, д.19",Многоквартирный дом,9,1975-01-01 00:00:00,8597.4
"г Уфа, б-р. Ибрагимова, д.19 корп.21",Другое строение,1,,0.01
"г Уфа, б-р. Ибрагимова, д.19 корп.А",Другое строение,1,,0.01
"г Уфа, б-р. Ибрагимова, д.21",Многоквартирный дом,9,1973-01-01 00:00:00,7789.9
"г Уфа, б-р. Ибрагимова, д.21 корп.1",Многоквартирный дом,10,2006-01-01 00:00:00,9956.3
"г Уфа, б-р. Ибрагимова, д.23",Многоквартирный дом,9,1970-01-01 00:00:00,7866.7
"г Уфа, б-р. Ибрагимова, д.23 корп.1",Многоквартирный дом,6,1989-01-01 00:00:00,2841.9
"г Уфа, б-р. Ибрагимова, д.23 корп.2",Другое строение,1,,0.01
"г Уфа, б-р. Ибрагимова, д.25",Многоквартирный дом,9,1970-01-01 00:00:00,7351.9
"г Уфа, б-р. Ибрагимова, д.32",Многоквартирный дом,11,2013-01-01 00:00:00,9458.6
"г Уфа, б-р. Ибрагимова, д.34",Многоквартирный дом,14,2017-01-01 00:00:00,11002.9
"г Уфа, б-р. Ибрагимова, д.35",Многоквартирный дом,9,1989-01-01 00:00:00,5438.8
"г Уфа, б-р. Ибрагимова, д.35 корп.1",Многоквартирный дом,6,1992-01-01 00:00:00,5289.7
"г Уфа, б-р. Ибрагимова, д.37",Многоквартирный дом,5,1968-01-01 00:00:00,6367.4
"г Уфа, б-р. Ибрагимова, д.37 корп.1",Многоквартирный дом,5,1968-01-01 00:00:00,3214.1
"г Уфа, б-р. Ибрагимова, д.37 корп.2",Многоквартирный дом,5,1975-01-01 00:00:00,3859.1
"г Уфа, б-р. Ибрагимова, д.37 корп.3",Многоквартирный дом,9,2013-01-01 00:00:00,6366.2
"г Уфа, б-р. Ибрагимова, д.41",Другое строение,2,1936-01-01 00:00:00,0.01
"г Уфа, б-р. Ибрагимова, д.42",Многоквартирный дом,10,2005-01-01 00:00:00,8109.0
"г Уфа, б-р. Ибрагимова, д.44",Многоквартирный дом,10,1997-01-01 00:00:00,8515.9
"г Уфа, б-р. Ибрагимова, д.46",Многоквартирный дом,12,2003-01-01 00:00:00,8854.9
"г Уфа, б-р. Ибрагимова, д.46 корп.1",Другое строение,0,,0.01
"г Уфа, б-р. Ибрагимова, д.47",Многоквартирный дом,5,1973-01-01 00:00:00,3492.6
"г Уфа, б-р. Ибрагимова, д.47 корп.1",Многоквартирный дом,9,1981-01-01 00:00:00,9474.3
"г Уфа, б-р. Ибрагимова, д.49",Многоквартирный дом,5,1972-01-01 00:00:00,4073.6
"г Уфа, б-р. Ибрагимова, д.49 корп.1",Многоквартирный дом,5,1970-01-01 00:00:00,3388.8
"г Уфа, б-р. Ибрагимова, д.49 корп.2",Другое строение,1,1970-01-01 00:00:00,0.01
"г Уфа, б-р. Ибрагимова, д.49 корп.3",Другое строение,2,1982-01-01 00:00:00,0.01
"г Уфа, б-р. Ибрагимова, д.51",Многоквартирный дом,5,1970-01-01 00:00:00,3563.5
"г Уфа, б-р. Ибрагимова, д.51 корп.2",Другое строение,1,2003-01-01 00:00:00,0.01
